Title,Link,IMDB or M,Site Score,User Score
Rectify: Season 4,/tv/rectify/season-4,RT,99,8.7
The Larry Sanders Show: Season 4,/tv/the-larry-sanders-show/season-4,RT,99,5.8
Murder One: Season 1,/tv/murder-one/season-1,RT,99,6.4
The Larry Sanders Show: Season 6,/tv/the-larry-sanders-show/season-6,RT,99,5.5
Breaking Bad: Season 5,/tv/breaking-bad/season-5,RT,99,9.6
The Office (UK): Season 3,/tv/the-office-uk/season-3,RT,98,8.5
The Office (UK): Season 1,/tv/the-office-uk/season-1,RT,98,8.6
Bo Burnham: Inside,/tv/bo-burnham-inside/season-1,RT,98,8.5
The Leftovers: Season 3,/tv/the-leftovers/season-3,RT,98,9.1
The Wire: Season 3,/tv/the-wire/season-3,RT,98,9.4
The Wire: Season 4,/tv/the-wire/season-4,RT,98,9.5
The Sopranos: Season 2,/tv/the-sopranos/season-2,RT,97,9.3
The Larry Sanders Show: Season 5,/tv/the-larry-sanders-show/season-5,RT,97,6.0
Planet Earth: Blue Planet II,/tv/planet-earth-blue-planet-ii/season-1,RT,97,8.3
Atlanta: Season 2,/tv/atlanta/season-2,RT,97,8.2
The Sopranos: Season 3,/tv/the-sopranos/season-3,RT,97,9.4
America to Me: Season 1,/tv/america-to-me/season-1,RT,96,5.6
Homeland: Season 2,/tv/homeland/season-2,RT,96,8.3
Twin Peaks: Season 1,/tv/twin-peaks/season-1,RT,96,9.3
O.J.: Made in America: Season 1,/tv/oj-made-in-america/season-1,RT,96,8.0
What We Do in the Shadows (2019): Season 3,/tv/what-we-do-in-the-shadows-2019/season-3,RT,96,8.1
Breaking Bad: Season 4,/tv/breaking-bad/season-4,RT,96,9.5
The Sopranos: Season 6,/tv/the-sopranos/season-6,RT,96,9.0
Better Things: Season 2,/tv/better-things/season-2,RT,96,7.3
Fleabag: Season 2,/tv/fleabag/season-2,RT,96,8.8
Fargo: Season 2,/tv/fargo/season-2,RT,96,9.2
Planet Earth II: Season 1,/tv/planet-earth-ii/season-1,RT,96,9.4
Catastrophe: Season 3,/tv/catastrophe/season-3,RT,96,8.1
Enlightened: Season 2,/tv/enlightened/season-2,RT,95,7.6
The Staircase: Season 1,/tv/the-staircase/season-1,RT,95,6.7
The Americans: Season 4,/tv/the-americans/season-4,RT,95,9.0
The Wire: Season 2,/tv/the-wire/season-2,RT,95,9.0
Homicide: Life on the Street: Season 1,/tv/homicide-life-on-the-street/season-1,RT,94,8.7
Better Things: Season 3,/tv/better-things/season-3,RT,94,8.4
Game of Thrones: Season 4,/tv/game-of-thrones/season-4,RT,94,9.2
Battlestar Galactica (2003): Season 3,/tv/battlestar-galactica-2003/season-3,RT,94,9.1
Transparent: Season 2,/tv/transparent/season-2,RT,94,6.6
Better Things: Season 5,/tv/better-things/season-5,RT,94,tbd
Louie: Season 3,/tv/louie/season-3,RT,94,8.8
The Americans: Season 5,/tv/the-americans/season-5,RT,94,8.4
The Office (UK): Season 2,/tv/the-office-uk/season-2,RT,93,8.9
Deadwood: Season 2,/tv/deadwood/season-2,RT,93,9.1
City So Real: Season 1,/tv/city-so-real/season-1,RT,93,4.4
PEN15: Season 2,/tv/pen15/season-2,RT,93,7.4
Louie: Season 4,/tv/louie/season-4,RT,93,8.7
Curb Your Enthusiasm: Season 3,/tv/curb-your-enthusiasm/season-3,RT,93,8.8
Bleak House: Season 1,/tv/bleak-house/season-1,RT,93,9.0
Homecoming: A Film by Beyoncé,/tv/homecoming-a-film-by-beyonce/season-1,RT,93,7.8
The Larry Sanders Show: Season 3,/tv/the-larry-sanders-show/season-3,RT,93,7.5
The Americans: Season 6,/tv/the-americans/season-6,RT,92,8.2
Mad Men: Season 4,/tv/mad-men/season-4,RT,92,9.0
The Shield: Season 1,/tv/the-shield/season-1,RT,92,9.3
Better Call Saul: Season 5,/tv/better-call-saul/season-5,RT,92,8.9
Halt and Catch Fire: Season 4,/tv/halt-and-catch-fire/season-4,RT,92,8.2
The Underground Railroad,/tv/the-underground-railroad/season-1,RT,92,7.6
The Staircase [2018 Version]: Season 1,/tv/the-staircase-2018-version/season-1,RT,92,7.7
The Americans: Season 3,/tv/the-americans/season-3,RT,92,8.5
The Simpsons: Season 2,/tv/the-simpsons/season-2,RT,92,9.0
Romeo & Juliet,/tv/romeo-juliet/season-1,RT,92,6.1
Rectify: Season 2,/tv/rectify/season-2,RT,92,9.1
Homeland: Season 1,/tv/homeland/season-1,RT,92,8.2
Succession: Season 3,/tv/succession/season-3,RT,92,8.2
My Brilliant Friend: Season 2,/tv/my-brilliant-friend/season-2,RT,92,8.5
The Handmaid's Tale: Season 1,/tv/the-handmaids-tale/season-1,RT,92,7.9
Transparent: Season 1,/tv/transparent/season-1,RT,92,7.4
The Returned: Season 1,/tv/the-returned/season-1,RT,92,8.6
My So-Called Life: Season 1,/tv/my-so-called-life/season-1,RT,92,8.5
Catastrophe: Season 4,/tv/catastrophe/season-4,RT,91,8.2
The Hollow Crown: Season 1,/tv/the-hollow-crown/season-1,RT,91,6.9
Louie: Season 5,/tv/louie/season-5,RT,91,8.5
Game of Thrones: Season 5,/tv/game-of-thrones/season-5,RT,91,8.2
Master of None: Season 1,/tv/master-of-none/season-1,RT,91,7.7
It's a Sin,/tv/its-a-sin/season-1,RT,91,8.1
BoJack Horseman: Season 6.5,/tv/bojack-horseman/season-6-5,RT,91,8.7
The Larry Sanders Show: Season 2,/tv/the-larry-sanders-show/season-2,RT,91,7.2
Master of None: Season 2,/tv/master-of-none/season-2,RT,91,8.3
Borgen: Season 1,/tv/borgen/season-1,RT,91,7.9
Justified: Season 2,/tv/justified/season-2,RT,91,9.3
Broadchurch: Season 1,/tv/broadchurch/season-1,RT,91,8.2
Frozen Planet: Season 1,/tv/frozen-planet/season-1,RT,91,8.8
Sherlock: Season 2,/tv/sherlock/season-2,RT,91,9.1
The Larry Sanders Show: Season 1,/tv/the-larry-sanders-show/season-1,RT,91,7.3
Game of Thrones: Season 3,/tv/game-of-thrones/season-3,RT,91,9.2
Downton Abbey: Season 1,/tv/downton-abbey/season-1,RT,91,8.6
The Zen Diaries of Garry Shandling: Season 1,/tv/the-zen-diaries-of-garry-shandling/season-1,RT,90,6.9
Transparent: Season 3,/tv/transparent/season-3,RT,90,6.6
Justified: Season 4,/tv/justified/season-4,RT,90,8.9
Last Chance U: Basketball: Season 1,/tv/last-chance-u-basketball/season-1,RT,90,7.6
Big Mouth: Season 2,/tv/big-mouth/season-2,RT,90,6.8
The Night Of: Season 1,/tv/the-night-of/season-1,RT,90,8.8
Atlanta: Season 1,/tv/atlanta/season-1,RT,90,8.7
The Last Dance: Season 1,/tv/the-last-dance/season-1,RT,90,8.8
The Corner: Season 1,/tv/the-corner/season-1,RT,90,8.0
BoJack Horseman: Season 2,/tv/bojack-horseman/season-2,RT,90,8.9
Rescue Me: Season 3,/tv/rescue-me/season-3,RT,90,8.5
Louie: Season 2,/tv/louie/season-2,RT,90,8.6
The People v. O.J. Simpson: American Crime Story: Season 1,/tv/the-people-v-oj-simpson-american-crime-story/season-1,RT,90,8.6
Silicon Valley: Season 3,/tv/silicon-valley/season-3,RT,90,8.9
Insecure: Season 2,/tv/insecure/season-2,RT,90,6.6
Game of Thrones: Season 2,/tv/game-of-thrones/season-2,RT,90,9.1
